model of geometry	distance function	hdt_reg_mse	edt_reg_mse	max_depth	n_dim	seed	noise_std	n_samples	n_classes
hyperboloid	hyperboloid	2.801812745262507e-06	202210.81689539767	5	2	44	0.1	1000	10
poincare	euclidean	0.007918452511758987	202315.91428551645	5	2	44	0.5	1000	2
poincare	poincare	0.20315744658336723	200824.777684805	5	2	44	0.5	1000	2
hyperboloid	euclidean	57465460.11414555	64519094.96956716	5	2	44	0.5	1000	2
hyperboloid	hyperboloid	1.2010000298714528e-05	208653.88977308362	5	2	44	0.5	1000	2
poincare	euclidean	0.01568492658509517	205010.01054043125	5	2	44	0.5	1000	5
poincare	poincare	0.26344365901976013	203601.4038686616	5	2	44	0.5	1000	5
hyperboloid	euclidean	71362.48758098598	132084.35798845257	5	2	44	0.5	1000	5
hyperboloid	hyperboloid	1.6623684524828976e-06	209470.0694668579	5	2	44	0.5	1000	5
poincare	euclidean	0.017762240161000628	188343.0522620111	5	2	44	0.5	1000	10
poincare	poincare	0.5622978258283853	187065.9381292791	5	2	44	0.5	1000	10
hyperboloid	euclidean	441412436.68043303	416441549.5557082	5	2	44	0.5	1000	10
hyperboloid	hyperboloid	0.000622247275932593	218032.76231235123	5	2	44	0.5	1000	10
poincare	euclidean	0.0157052852373624	228270.73777307413	5	4	42	0.1	1000	2
poincare	poincare	0.263627620666622	226703.50469542175	5	4	42	0.1	1000	2
hyperboloid	euclidean	48229.576845193136	135221.4595123449	5	4	42	0.1	1000	2
hyperboloid	hyperboloid	4.3010802490417545e-06	193791.04982658543	5	4	42	0.1	1000	2
poincare	euclidean	0.011902696623978354	187033.00601612258	5	4	42	0.1	1000	5
poincare	poincare	0.19098819693205982	185647.15403958253	5	4	42	0.1	1000	5
hyperboloid	euclidean	1377570.3824257525	224738.86278329336	5	4	42	0.1	1000	5
hyperboloid	hyperboloid	2.434612623971828e-05	234047.073634366	5	4	42	0.1	1000	5
poincare	euclidean	0.020850238932229655	244436.85197411172	5	4	42	0.1	1000	10
poincare	poincare	0.30923813525215316	242693.3073429257	5	4	42	0.1	1000	10
hyperboloid	euclidean	51609.836362953334	160298.82533280202	5	4	42	0.1	1000	10
hyperboloid	hyperboloid	2.684803219785316e-06	180862.91345951083	5	4	42	0.1	1000	10
poincare	euclidean	0.028379768351180647	226155.8104439756	5	4	42	0.5	1000	2
poincare	poincare	1.3671350532984592	223415.36785114818	5	4	42	0.5	1000	2
hyperboloid	euclidean	12938778021.475882	11909468321.135403	5	4	42	0.5	1000	2
hyperboloid	hyperboloid	2.1962776543484566e-05	187401.2826640267	5	4	42	0.5	1000	2
poincare	euclidean	0.0252617947493036	201557.20277929906	5	4	42	0.5	1000	5
poincare	poincare	1.1086662250880595	199234.09731444568	5	4	42	0.5	1000	5
hyperboloid	euclidean	9285074886723.086	2084814455616.9062	5	4	42	0.5	1000	5
hyperboloid	hyperboloid	0.0005715012605464238	208065.69690888285	5	4	42	0.5	1000	5
poincare	euclidean	0.03343233871178631	227556.5651256872	5	4	42	0.5	1000	10
poincare	poincare	1.697246986331159	224870.64061159725	5	4	42	0.5	1000	10
hyperboloid	euclidean	735750939934.893	5165300693.20066	5	4	42	0.5	1000	10
hyperboloid	hyperboloid	0.0012710483094599365	185907.6219041451	5	4	42	0.5	1000	10
poincare	euclidean	0.015878732602824113	226748.26827149035	5	4	43	0.1	1000	2
poincare	poincare	0.22458095145453824	225101.6791125773	5	4	43	0.1	1000	2
hyperboloid	euclidean	592813.7774767468	385999.3367823782	5	4	43	0.1	1000	2
hyperboloid	hyperboloid	6.33331982669464e-06	186347.32197646148	5	4	43	0.1	1000	2
poincare	euclidean	0.017733162767697586	206130.75174728723	5	4	43	0.1	1000	5
poincare	poincare	0.2982449479384563	204567.9743095771	5	4	43	0.1	1000	5
hyperboloid	euclidean	2644341.6927371942	2303880.211243345	5	4	43	0.1	1000	5
hyperboloid	hyperboloid	6.310032612809532e-06	216076.1411602887	5	4	43	0.1	1000	5
poincare	euclidean	0.019249979132054954	194206.1335540578	5	4	43	0.1	1000	10
poincare	poincare	0.2989353298290194	192734.27669695078	5	4	43	0.1	1000	10
hyperboloid	euclidean	85824.44732590693	123487.44217094191	5	4	43	0.1	1000	10
hyperboloid	hyperboloid	2.7300786189856025e-06	216135.64033275188	5	4	43	0.1	1000	10
poincare	euclidean	0.025152892150136382	223554.8293559208	5	4	43	0.5	1000	2
poincare	poincare	1.1111786097437621	220734.77535445022	5	4	43	0.5	1000	2
hyperboloid	euclidean	5667415667252.85	72442193345.5814	5	4	43	0.5	1000	2
hyperboloid	hyperboloid	3.1024997754007e-05	182873.91433099032	5	4	43	0.5	1000	2
poincare	euclidean	0.03407948514377788	208051.06617948084	5	4	43	0.5	1000	5
poincare	poincare	1.6374860626540346	205418.13763681005	5	4	43	0.5	1000	5
hyperboloid	euclidean	14579944843149.574	12427396651017.84	5	4	43	0.5	1000	5
hyperboloid	hyperboloid	2.3340482164452807e-07	204255.2137303834	5	4	43	0.5	1000	5
poincare	euclidean	0.030971655115436456	195879.19434691433	5	4	43	0.5	1000	10
poincare	poincare	1.761048562151365	193374.83111015824	5	4	43	0.5	1000	10
hyperboloid	euclidean	450779520505.2699	390682067202.0193	5	4	43	0.5	1000	10
hyperboloid	hyperboloid	0.00011471965926196991	221735.05655688563	5	4	43	0.5	1000	10
poincare	euclidean	0.0021320354334111134	210571.80833441776	5	4	44	0.1	1000	2
poincare	poincare	0.18162960438744002	208436.6351669888	5	4	44	0.1	1000	2
hyperboloid	euclidean	7417947.219821663	5496057.016965887	5	4	44	0.1	1000	2
hyperboloid	hyperboloid	1.0722584736138356e-05	198790.85910037655	5	4	44	0.1	1000	2
poincare	euclidean	0.014122708874987398	219780.15481425676	5	4	44	0.1	1000	5
poincare	poincare	0.3220424826989984	217880.8117985148	5	4	44	0.1	1000	5
hyperboloid	euclidean	10003092885.611183	7379031903.237591	5	4	44	0.1	1000	5
hyperboloid	hyperboloid	0.001465143598890173	194577.57082110815	5	4	44	0.1	1000	5
poincare	euclidean	0.022386339520347923	203251.51318711214	5	4	44	0.1	1000	10
poincare	poincare	0.34578037717966453	201543.86276283936	5	4	44	0.1	1000	10
hyperboloid	euclidean	4563283.084385747	4828488.501235567	5	4	44	0.1	1000	10
hyperboloid	hyperboloid	1.98037190534193e-05	211226.20774108294	5	4	44	0.1	1000	10
poincare	euclidean	0.0038637919505011297	208618.08054590054	5	4	44	0.5	1000	2
