,model,n_samples,trial,time
116,Fast-HyperDT,64,8,0.00048661231994628906
117,HyperDT,64,8,0.028423309326171875
118,Fast-HyperDT,64,9,0.0005257129669189453
119,HyperDT,64,9,0.03134441375732422
120,Fast-HyperDT,128,0,0.0005538463592529297
121,HyperDT,128,0,0.05918526649475098
122,Fast-HyperDT,128,1,0.0005180835723876953
123,HyperDT,128,1,0.06201505661010742
124,Fast-HyperDT,128,2,0.0005271434783935547
125,HyperDT,128,2,0.05840492248535156
126,Fast-HyperDT,128,3,0.0005075931549072266
127,HyperDT,128,3,0.03734993934631348
128,Fast-HyperDT,128,4,0.0005693435668945312
129,HyperDT,128,4,0.0605316162109375
130,Fast-HyperDT,128,5,0.0005643367767333984
131,HyperDT,128,5,0.06324625015258789
132,Fast-HyperDT,128,6,0.0005321502685546875
133,HyperDT,128,6,0.059648990631103516
134,Fast-HyperDT,128,7,0.0005717277526855469
135,HyperDT,128,7,0.06313014030456543
136,Fast-HyperDT,128,8,0.0005097389221191406
137,HyperDT,128,8,0.05519819259643555
138,Fast-HyperDT,128,9,0.0005168914794921875
139,HyperDT,128,9,0.06176114082336426
140,Fast-HyperDT,256,0,0.0006456375122070312
141,HyperDT,256,0,0.11515450477600098
142,Fast-HyperDT,256,1,0.0004799365997314453
143,HyperDT,256,1,0.044966936111450195
144,Fast-HyperDT,256,2,0.0006709098815917969
145,HyperDT,256,2,0.11966347694396973
146,Fast-HyperDT,256,3,0.0005676746368408203
147,HyperDT,256,3,0.08547329902648926
148,Fast-HyperDT,256,4,0.0006852149963378906
149,HyperDT,256,4,0.1289834976196289
150,Fast-HyperDT,256,5,0.0005757808685302734
151,HyperDT,256,5,0.10300397872924805
152,Fast-HyperDT,256,6,0.0006158351898193359
153,HyperDT,256,6,0.13036251068115234
154,Fast-HyperDT,256,7,0.000732421875
155,HyperDT,256,7,0.1172177791595459
156,Fast-HyperDT,256,8,0.00061798095703125
157,HyperDT,256,8,0.1279621124267578
158,Fast-HyperDT,256,9,0.0006761550903320312
159,HyperDT,256,9,0.13162970542907715
160,Fast-HyperDT,512,0,0.0008473396301269531
161,HyperDT,512,0,0.27852869033813477
162,Fast-HyperDT,512,1,0.0008358955383300781
163,HyperDT,512,1,0.2835512161254883
164,Fast-HyperDT,512,2,0.0008578300476074219
165,HyperDT,512,2,0.260251522064209
166,Fast-HyperDT,512,3,0.0008413791656494141
167,HyperDT,512,3,0.24752473831176758
168,Fast-HyperDT,512,4,0.0008265972137451172
169,HyperDT,512,4,0.25194454193115234
170,Fast-HyperDT,512,5,0.0008645057678222656
171,HyperDT,512,5,0.2678983211517334
172,Fast-HyperDT,512,6,0.0007951259613037109
173,HyperDT,512,6,0.2042851448059082
174,Fast-HyperDT,512,7,0.00078582763671875
175,HyperDT,512,7,0.25924038887023926
176,Fast-HyperDT,512,8,0.0008656978607177734
177,HyperDT,512,8,0.2746109962463379
178,Fast-HyperDT,512,9,0.0005707740783691406
179,HyperDT,512,9,0.09633636474609375
180,Fast-HyperDT,1024,0,0.0010864734649658203
181,HyperDT,1024,0,0.4462571144104004
182,Fast-HyperDT,1024,1,0.0012905597686767578
183,HyperDT,1024,1,0.5732078552246094
184,Fast-HyperDT,1024,2,0.0013129711151123047
185,HyperDT,1024,2,0.588493824005127
186,Fast-HyperDT,1024,3,0.0011093616485595703
187,HyperDT,1024,3,0.5154969692230225
188,Fast-HyperDT,1024,4,0.0012574195861816406
189,HyperDT,1024,4,0.6347637176513672
190,Fast-HyperDT,1024,5,0.0012068748474121094
191,HyperDT,1024,5,0.5490326881408691
192,Fast-HyperDT,1024,6,0.001117706298828125
193,HyperDT,1024,6,0.4906177520751953
194,Fast-HyperDT,1024,7,0.0012803077697753906
195,HyperDT,1024,7,0.5948841571807861
196,Fast-HyperDT,1024,8,0.0013170242309570312
197,HyperDT,1024,8,0.5945606231689453
198,Fast-HyperDT,1024,9,0.0011525154113769531
199,HyperDT,1024,9,0.5395991802215576
200,Fast-HyperDT,2048,0,0.002196073532104492
201,HyperDT,2048,0,1.4608843326568604
202,Fast-HyperDT,2048,1,0.002193450927734375
203,HyperDT,2048,1,1.3442013263702393
204,Fast-HyperDT,2048,2,0.001955747604370117
205,HyperDT,2048,2,1.189849615097046
206,Fast-HyperDT,2048,3,0.002176523208618164
207,HyperDT,2048,3,1.4296419620513916
208,Fast-HyperDT,2048,4,0.0021333694458007812
209,HyperDT,2048,4,1.461306095123291
210,Fast-HyperDT,2048,5,0.0021572113037109375
211,HyperDT,2048,5,1.4024434089660645
212,Fast-HyperDT,2048,6,0.00217437744140625
213,HyperDT,2048,6,1.3909602165222168
214,Fast-HyperDT,2048,7,0.002237558364868164
215,HyperDT,2048,7,1.3760383129119873
216,Fast-HyperDT,2048,8,0.0021240711212158203
217,HyperDT,2048,8,1.4199371337890625
218,Fast-HyperDT,2048,9,0.0021736621856689453
219,HyperDT,2048,9,1.3692595958709717
220,Fast-HyperDT,4096,0,0.004764556884765625
221,HyperDT,4096,0,3.5736465454101562
222,Fast-HyperDT,4096,1,0.004803895950317383
223,HyperDT,4096,1,3.754594087600708
224,Fast-HyperDT,4096,2,0.004712581634521484
225,HyperDT,4096,2,3.9129793643951416
226,Fast-HyperDT,4096,3,0.004769086837768555
227,HyperDT,4096,3,3.487201690673828
228,Fast-HyperDT,4096,4,0.004403114318847656
229,HyperDT,4096,4,3.917703866958618
230,Fast-HyperDT,4096,5,0.0046482086181640625
231,HyperDT,4096,5,4.054707050323486
232,Fast-HyperDT,4096,6,0.004738330841064453
233,HyperDT,4096,6,3.607028007507324
234,Fast-HyperDT,4096,7,0.004492521286010742
235,HyperDT,4096,7,3.8960251808166504
236,Fast-HyperDT,4096,8,0.004607200622558594
237,HyperDT,4096,8,4.06002402305603
238,Fast-HyperDT,4096,9,0.004721403121948242
239,HyperDT,4096,9,4.002301931381226
240,Fast-HyperDT,8192,0,0.00918269157409668
241,HyperDT,8192,0,11.945001363754272
242,Fast-HyperDT,8192,1,0.009098291397094727
243,HyperDT,8192,1,12.350678443908691
244,Fast-HyperDT,8192,2,0.00932455062866211
245,HyperDT,8192,2,10.895606756210327
246,Fast-HyperDT,8192,3,0.008759498596191406
247,HyperDT,8192,3,10.893674373626709
248,Fast-HyperDT,8192,4,0.00920557975769043
249,HyperDT,8192,4,11.107097625732422
250,Fast-HyperDT,8192,5,0.009054899215698242
251,HyperDT,8192,5,10.921401977539062
252,Fast-HyperDT,8192,6,0.009288787841796875
