score,model,n_classes,n_dim,n_points,noise_std,max_depth
0.43853820598006643,hdt,7,4,1503,0.32161709058589194,1
0.43853820598006643,kdt,7,4,1503,0.32161709058589194,1
0.4418604651162791,edt,7,4,1503,0.32161709058589194,1
0.49666666666666665,hdt,4,3,1498,0.25825193828881565,1
0.49666666666666665,kdt,4,3,1498,0.25825193828881565,1
0.5166666666666667,edt,4,3,1498,0.25825193828881565,1
0.5483870967741935,hdt,7,10,3255,0.0730351919791769,2
0.5483870967741935,kdt,7,10,3255,0.0730351919791769,2
0.5376344086021505,edt,7,10,3255,0.0730351919791769,2
0.7307692307692307,hdt,9,4,649,0.18586064023338883,9
0.7230769230769231,kdt,9,4,649,0.18586064023338883,9
0.676923076923077,edt,9,4,649,0.18586064023338883,9
0.6879120879120879,hdt,7,8,2275,0.20879599405527238,5
0.6989010989010989,kdt,7,8,2275,0.20879599405527238,5
0.6043956043956044,edt,7,8,2275,0.20879599405527238,5
0.5686274509803921,hdt,4,9,761,0.19242970303325535,2
0.5686274509803921,kdt,4,9,761,0.19242970303325535,2
0.5947712418300654,edt,4,9,761,0.19242970303325535,2
0.707395498392283,hdt,8,16,1552,0.05927252053693971,3
0.7138263665594855,kdt,8,16,1552,0.05927252053693971,3
0.7395498392282959,edt,8,16,1552,0.05927252053693971,3
0.8506944444444444,hdt,4,10,2880,0.11179349641875608,5
0.8506944444444444,kdt,4,10,2880,0.11179349641875608,5
0.84375,edt,4,10,2880,0.11179349641875608,5
0.869983948635634,hdt,3,3,3112,0.06135292046005153,2
0.869983948635634,kdt,3,3,3112,0.06135292046005153,2
0.8715890850722311,edt,3,3,3112,0.06135292046005153,2
0.5439560439560439,hdt,6,3,910,0.29265184430729657,9
0.532967032967033,kdt,6,3,910,0.29265184430729657,9
0.554945054945055,edt,6,3,910,0.29265184430729657,9
0.38645418326693226,hdt,9,3,1253,0.4959633091540554,2
0.38645418326693226,kdt,9,3,1253,0.4959633091540554,2
0.44621513944223107,edt,9,3,1253,0.4959633091540554,2
0.8299065420560747,hdt,9,4,2673,0.0594878297163593,5
0.8317757009345794,kdt,9,4,2673,0.0594878297163593,5
0.8448598130841122,edt,9,4,2673,0.0594878297163593,5
